ori,year,offense,final_reporting_regime,evidence_type,source_note,confidence,reviewer_note
FL0590000,2024,rape,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one reported month carrying the full annual total.,0.99,"Keep lumpy_or_batched: 1 nonzero month, 12 reported months, and annual total aligns exactly."
FL0590000,2024,robbery,lumpy_or_batched,queue_payload_lumpiness_signal,The annual total is concentrated into one reported month.,0.98,Observed pattern is lumpy rather than partial or full monthly reporting.
FL0590100,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one nonzero month with the full annual total concentrated there.,0.99,Retain lumpy_or_batched; the monthly pattern is highly concentrated.
FL0590100,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,"One reported month carries the full annual total, so the series still looks batched.",0.97,Keep as batched reporting; no sign of a true monthly series.
FL0590100,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all annual SRS total concentrated in one month.,0.99,Retain lumpy_or_batched; the observed pattern is highly concentrated.
FL0590100,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows 12 reported months but all activity is concentrated in one month.,0.99,Kept as lumpy/batched because the observed counts are concentrated in a single month.
FL0590100,2024,robbery,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one reported month carrying the full annual Part I total.,0.99,High lumpiness with a single nonzero month; keep batched classification.
FL0590200,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,The payload shows a fully concentrated annual total in a single month.,0.97,Retain lumpy_or_batched based on the concentration pattern.
FL0590200,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows 12 reported months but all activity is concentrated in one month.,0.99,Kept as lumpy/batched because the series behaves like batched annual reporting.
FL0590200,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,"All 12 months are reported, but the observed activity is concentrated in one month.",0.99,Single-month concentration with a full month set supports batched reporting.
FL0590200,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all 38 incidents concentrated in one reported month.,0.99,Keep as lumpy_or_batched; the data are still batched into one month.
FL0590500,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows 12 reported months but all activity is concentrated in one month.,0.99,Keep lumpy_or_batched; the reported months are present but the counts are fully batched.
FL0590500,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,"The queue payload shows one nonzero month and full-year concentration, consistent with batching.",0.99,"Keep as lumpy_or_batched; this looks like annual batching, not true monthly reporting."
FL0590500,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows the annual total concentrated in a single month.,0.98,Twelve reported months but only one nonzero month; this is batched reporting.
FL0590500,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,Payload shows 12 reported months but only one nonzero month.,0.99,This is still a batched-looking annual pattern.
FL0590500,2024,rape,lumpy_or_batched,queue_payload_lumpiness_signal,Annual SRS total appears in one month even though all months are listed as reported.,0.99,"Keep lumpy_or_batched; the queue payload supports batching, not a different regime."
FL0590500,2024,robbery,lumpy_or_batched,queue_payload_lumpiness_signal,The queue payload shows only one reported month carrying the full annual total.,0.99,"Pattern is consistent with batching, not true monthly reporting."
GA044149E,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 months reported.,0.96,Treat as annual-only support; no basis for monthly reclassification.
GA060240X,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows usable NIBRS annual support with 10 months reported and no usable SRS.,0.95,"Annual NIBRS support is usable, but monthly observation is not defensible."
GA060240X,2024,motor_vehicle_theft,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows usable NIBRS annual support with 10 reported months.,0.93,"NIBRS support is usable, but monthly observation is not defensible."
IN0450500,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows only three reported months with concentrated counts and no clear evidence of full monthly coverage.,0.92,Keep as lumpy_or_batched; the sparse monthly pattern is still batch-like and not enough for true partial or full monthly.
IN0450500,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,The payload shows sparse reporting with activity concentrated in just three months.,0.92,This is still too concentrated to treat as a true partial monthly series.
IN0450500,2024,larceny,true_partial,queue_payload_lumpiness_signal,Three reported months carry the observed activity and align closely with the annual total.,0.89,This looks like genuinely partial monthly reporting rather than batching.
IN0450500,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows only 3 reported months with concentrated annual SRS activity.,0.98,Keep as batched reporting; sparse months and annual total pattern support the queue flag.
INIPD0000,2024,aggravated_assault,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months and no usable SRS.,0.98,Keep as annual-only usable; no evidence of true monthly observation.
INIPD0000,2024,burglary,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months and no usable SRS.,0.98,Keep as annual-only usable; no evidence of true monthly observation.
INIPD0000,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months and no usable SRS.,0.98,Keep as annual-only usable; no evidence of true monthly observation.
INIPD0000,2024,motor_vehicle_theft,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months and no usable SRS.,0.98,Keep as annual-only usable; no evidence of true monthly observation.
INIPD0000,2024,rape,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality 12-month NIBRS annual support with no SRS support.,0.96,Keep annual-only usable; no evidence of true monthly observation.
INIPD0000,2024,robbery,annual_only_but_usable,queue_payload_nibrs_annual_support,NIBRS annual incident support is present with 12 reported months and no usable SRS signal.,0.97,Use annual NIBRS support; no evidence of monthly observation.
LA0170200,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows only four observed months and a concentrated annual total.,0.97,"Sparse monthly observations fit batched annual reporting, not true monthly reporting."
LA0170200,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows sparse monthly reporting with no basis for a monthly reclassification.,0.95,Keep lumpy_or_batched; the annual total is supported by only four reported months and remains concentrated.
LA0170200,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows only four observed months and a concentrated annual total.,0.97,"Sparse monthly observations fit batched annual reporting, not true monthly reporting."
LA0170200,2024,murder,true_partial,queue_payload_lumpiness_signal,"Only four months are reported, and the counts are spread across those months.",0.89,Looks like genuine partial monthly reporting rather than batching.
LA0170200,2024,rape,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows sparse quarterly reporting with concentrated counts.,0.92,Sparse months and concentrated counts still fit batching.
LA0170200,2024,robbery,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows 4 reported months with concentrated annual SRS activity.,0.98,Keep as batched reporting; the payload still matches a lumpy annual pattern.
MA009629E,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months.,0.96,Treat as annual-only usable NIBRS support; no monthly observation evidence.
MA009639E,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 months reported.,0.96,No evidence of true monthly observation; keep annual-only but usable.
MA013309E,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months and no usable SRS.,0.96,Keep as annual-only NIBRS support; no evidence of monthly observation.
MA013339E,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months and no usable SRS.,0.96,Keep as annual-only NIBRS support; no evidence of monthly observation.
MI631900X,2024,aggravated_assault,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months and no usable SRS.,0.97,Keep annual-only classification; NIBRS annual support is usable but not monthly-observed.
MI631900X,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 months reported and no usable SRS.,0.98,Use annual NIBRS support; no evidence of true monthly observation.
MI631910X,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months.,0.96,Treat as annual-only usable NIBRS support; no monthly observation evidence.
NC032039E,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,NIBRS annual incident support is present with 12 reported months.,0.96,Usable annual support only; no evidence of true monthly reporting.
NV002051C,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months and no usable SRS.,0.96,Keep annual-only-butable usable; no evidence of true monthly observation.
NY054119E,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months.,0.98,No defensible monthly observation is present; keep annual-only-but-usable.
PAPSP9400,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months.,0.98,"NIBRS annual support is usable, but there is no monthly reporting evidence."
PRPPR0000,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all reported volume concentrated in a single month despite 12 months flagged as reported.,0.99,Retain lumpy_or_batched: the monthly pattern is still fully concentrated and looks batched.
PRPPR0000,2024,murder,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows the annual total concentrated in a single reported month.,0.99,The pattern is still strongly batched rather than truly partial.
TX057519E,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months.,0.96,Treat as annual-only support; no evidence of true monthly reporting.
WI041249E,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months.,0.98,Use NIBRS annual support; no evidence of true monthly observation.
GA0100300,2019,larceny,structurally_missing_or_unreliable,panel_qa_single_year_spike,"Ray City 2019 larceny is an isolated 14,002-count SRS annual row on population 1,105 with only 10 reported months, bracketed by 2018 CIUS larceny 12 and 2020-2024 zeros. Treat it as a bad observed-history spike rather than usable annual support.",0.99,Bounded panel-QA repair. Exclude this single impossible row from history without broadening any general suppression rule.
