ori9,class,evidence,source
DCDOL0600,national_hq,UNITED STATES DEPARTMENT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DCFBIIT00,national_hq,FBI IT MANAGEMENT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DCFBIWA00,national_hq,FBI investigative caseload is national; this is the only FBI ORI reporting 2024 murders,FBI NIBRS 2024 Table 40 federal section; national agency-panel census
DCFBIWF00,national_hq,FBI WASHINGTON D C; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DCGSA0000,national_hq,General Services Administration service-wide rollup registered in Washington,FBI NIBRS 2024 Table 40 federal section; SRS agency panel
DCMC01000,national_hq,Marine Corps service-wide law-enforcement rollup registered in Washington,SRS agency panel; agency master
DCSS15600,national_hq,UNITED STATES DEPARTMENT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DCTIX0000,national_hq,Treasury Inspector General for Tax Administration national investigative caseload,FBI NIBRS 2024 Table 40 federal section; SRS agency panel
DCTRE0400,national_hq,UNITED STATES DEPARTMENT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DCUSA0100,national_hq,United States Army service-wide rollup registered in Washington,FBI NIBRS 2024 Table 40 federal section; SRS agency panel
DCUSN0000,national_hq,United States Navy service-wide law-enforcement rollup registered in Washington,SRS agency panel; agency master
DCVA00000,national_hq,Department of Veterans Affairs Police Service service-wide rollup registered in Washington,FBI NIBRS 2024 Table 40 federal section; SRS agency panel
DCZPP0000,installation,National Zoological Park Police patrols the zoo campus footprint,SRS type is federal; LEAIC 35158
DEATF0200,national_hq,BUREAU OF ATF WILMINGTON; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
DEDEA0100,national_hq,DEA resident-office investigations are not an installation policing footprint,SRS type is federal; LEAIC 35158
FDLK24000,national_hq,U S MARSHALS SERVICE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLATF0100,national_hq,BUREAU OF ATF FORT LAUDE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLATF0200,national_hq,BUREAU OF ATF DIST OFF M; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLATF0300,national_hq,BUREAU OF ATF ORLANDO; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLATF0400,national_hq,BUREAU OF ATF PENSACOLA; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLATF0700,national_hq,BUREAU OF ATF MIAMI; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLATF0900,national_hq,BUREAU OF ATF WEST PALM; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLATF1200,national_hq,BUREAU OF ATF FT LAUDERD; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLATF1300,national_hq,BUREAU OF ATF PANAMA CIT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLATF1400,national_hq,BUREAU OF ATF FORT MYERS; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLATF1600,national_hq,BUREAU OF ATF; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLATF1700,national_hq,BUREAU OF ATF TALLAHASSE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLATF3100,national_hq,BUREAU OF ATF PORT ST LU; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLATFJK00,national_hq,BUREAU OF ATF JACKSONVIL; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLDI00100,installation,EVERGLADES NP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
FLDI00200,installation,BISCAYNE NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
FLDI00300,installation,CASTILLO DE SAN MARCOS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
FLDI00400,installation,FORT MATANZAS NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
FLDI00500,installation,FORT JEFFERSON NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
FLDI00600,installation,DE SOTO NMEM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
FLDI00700,installation,FORT CAROLINE NMEM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
FLDI00800,installation,GULF ISLANDS NS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
FLDI00900,installation,CANAVERAL NAT L SEASHORE; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
FLFBIJK00,national_hq,FBI JACKSONVILLE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLFBIMM00,national_hq,FBI MIAMI; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLFBITP00,national_hq,FBI TAMPA; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLSS31800,national_hq,U S SECRET SERVICE TAM; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLUSC0300,national_hq,US CUSTOMS SERVICE JACK; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLUSC6900,national_hq,US CUSTOMS SERVICE MIAM; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
FLUSM0600,national_hq,U S MARSHALS SERVICE T; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
GAATF0200,national_hq,BUREAU OF ATF COLUMBUS; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
GAATF0400,national_hq,BUREAU OF ATF MACON; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
GAATF0600,national_hq,BUREAU OF ATF SAVANNAH; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
GAATFAT00,national_hq,BUREAU OF ATF DIST OFF A; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
GACBP0000,national_hq,US CUSTOMS AND BORDER PR; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
GADEA0100,national_hq,DEA ATLANTA; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
GADI00100,installation,ANDERSONVILLE NHS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
GADI00200,installation,CHICK CHATT NMP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
GADI00300,installation,FORT FREDERICA NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
GADI00400,installation,FORT PULASKI NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
GADI00500,installation,KENNESAW MOUNTAIN NBP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
GADI00600,installation,OCMULGEE NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
GADI00700,installation,CUMBERLAND ISLAND NS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
GADOA0100,installation,U S FOREST SERVICE; regional federal-land enforcement has a mappable land footprint,agency_master.parquet; agency_year_observations.parquet
GAFBIAT00,national_hq,FBI ATLANTA; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
GMATF0100,national_hq,BUREAU OF ATF GUAM; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
HIATF0200,national_hq,BUREAU OF ATF HONOLULU; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
HIDEA0100,national_hq,DEA HONOLULU; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
HIDI00000,installation,HAWAII VOLCANOES NP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
HIDI00100,installation,CITY OF REFUGE NHP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
HIDI00200,installation,HALEAKALA NP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
HIDIF0100,installation,U S FISH WILDLIFE DIV; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
HIFBIHN00,national_hq,FBI HONOLULU; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
IAATF0200,national_hq,BUREAU OF ATF DES MOINES; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
IADI00100,installation,EFFIGY MOUND NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
IADI00200,installation,HERBERT HOOVER NHS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
IADIT0000,installation,MESKWAKI NATION; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
IDATF0200,national_hq,BUREAU OF ATF BOISE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
IDDI00100,installation,CRATERS OF THE MOON NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
IDDI00200,installation,NEZ PERCE NHP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
IDDI00300,installation,YELLOWSTONE NP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
IDDI00400,installation,NEZ PERCE TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
IDDI00900,installation,COEUR D ALENE TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
IDDI01100,installation,KOOTENAI TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
IDUSM0100,national_hq,U S MARSHALS SERVICE B; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ILATF0100,national_hq,BUREAU OF ATF CHICAGO; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ILATF0600,national_hq,BUREAU OF ATF SPRINGFIEL; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ILATF0800,national_hq,BUREAU OF ATF FAIRVIEW H; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ILDI00100,installation,LINCOLN HOME NHS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
ILFBICG00,national_hq,FBI CHICAGO; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ILFBISI00,national_hq,FBI SPRINGFIELD; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ILSS20100,national_hq,US SECRET SERVICE CHICA; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ILUSM0100,national_hq,US MARSHALS SERVICE CHI; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
INATF0200,national_hq,BUREAU OF ATF INDIANAPOL; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
INATF0300,national_hq,BUREAU OF ATF FORT WAYNE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
INATF0500,national_hq,BUREAU OF ATF MERRILLVIL; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
INDI00100,installation,LINCOLN BOYHOOD NMEM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
INDI00200,installation,GEORGE ROGERS CLARK NHP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
INDI00300,installation,INDIANA DUNES NL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
INFBIIP00,national_hq,FBI INDIANAPOLIS; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
KSATF0200,national_hq,BUREAU OF ATF WICHITA; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
KSDI00100,installation,FORT LARNED NHS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
KSDI00200,installation,POTAWATOMI TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
KSDI05000,installation,KICKAPOO TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
KSDI05100,installation,IOWA TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
KSDI05200,installation,SAC AND FOX TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
KY1110200,installation,Tennessee Valley Authority police row identifies a specific Kentucky facility area,SRS type is federal; LEAIC 35158
KYATF0100,national_hq,BUREAU OF ATF ASHLAND; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
KYATF0200,national_hq,BUREAU OF ATF DIST OFF L; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
KYATF0300,national_hq,BUREAU OF ATF BOWLING GR; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
KYATF0400,national_hq,BUREAU OF ATF LEXINGTON; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
KYATF0900,national_hq,BUREAU OF ATF LONDON; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
KYDI00100,installation,MAMMOTH CAVE NP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
KYDI00200,installation,CUMBERLAND GAP NHP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
KYDI00300,installation,ABRAHAM LINCOLN BPL NHS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
KYFBILS00,national_hq,FBI LOUISVILLE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
KYUSM0200,national_hq,US MARSHALS SRVC LXNGTN; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
LAATF0200,national_hq,BUREAU OF ATF NEW ORLEA; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
LAATF0300,national_hq,BUREAU OF ATF SHREVEPORT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
LAATF0400,national_hq,BUREAU OF ATF BATON ROUG; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
LADI00100,installation,CHALMETTE NHP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
LADI00500,installation,TUNICA BILOXI TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
LADI00600,installation,COUSHATTA TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
LAFBINO00,national_hq,FBI NEW ORLEANS; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
LAUSC0500,national_hq,US CUSTOMS SERVICE GRAM; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
LAUSM0300,national_hq,U S MARSHALS SERVICE B; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MAATF0300,national_hq,BUREAU OF ATF SPRINGFIEL; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MAATF0400,national_hq,BUREAU OF ATF WORCESTER; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MAATF0500,national_hq,BUREAU OF ATF BOSTON; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MADI00100,installation,CAPE COD NS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MADI00200,installation,ADAMS NHS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MADI00400,installation,LONGFELLOW NHS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MADI00500,installation,MINUTE MAN NHP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MADI00600,installation,SALEM MARITIME NHS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MADI00700,installation,SAUGUS IRON WORKS NHS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MADI00800,installation,BOSTON NAT L HIST PARK; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MADI00900,installation,JFK NAT L HISTORIC SITE; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MADI01000,installation,WAMPANOAG TRIBE GAY HEAD; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MADIT0000,installation,MASHPEE WAMPANOAG TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MAFBIBS00,national_hq,FBI BOSTON; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MDATF0100,national_hq,BUREAU OF ATF HYATTSVILL; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MDATF0200,national_hq,BUREAU OF ATF BALTIMORE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MDD0AHY00,installation,UNITED STATES DEPARTMENT; regional federal-land enforcement has a mappable land footprint,agency_master.parquet; agency_year_observations.parquet
MDDC00200,national_hq,UNITED STATES DEPARTMENT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MDDI00100,installation,CATOCTIN MTN PARK; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MDDI00200,installation,C O CANAL ANTIETAM NS NC; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MDDI00300,installation,ASSATEAGUE ISLAND NS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MDDI00400,installation,FORT MCHENRY NM HS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MDDI00500,installation,HARPERS FERRY NHP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MDDI00600,installation,HAMPTON NHS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MDDI00900,installation,GREENBELT NATL PARK; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MDFBIBA00,national_hq,FBI BALTIMORE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MDFDA0300,national_hq,U S DEPT OF HEALTH AND; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MDHHS0100,installation,National Institutes of Health police protect the Bethesda campus footprint,SRS agency panel; agency master
MDPPD0000,installation,U S PARK POLICE; protective police/security row identifies a federal site footprint,agency_master.parquet; agency_year_observations.parquet
ME001BI00,national_hq,DEA ANDROSCOGGIN COUNTY; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ME002BI00,national_hq,DEA AROOSTOOK COUNTY; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ME003BI00,national_hq,DEA CUMBERLAND COUNTY; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ME004BI00,national_hq,DEA FRANKLIN COUNTY; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ME005BI00,national_hq,DEA HANCOCK COUNTY; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ME006BI00,national_hq,DEA KENNEBEC COUNTY; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ME007BI00,national_hq,DEA KNOX COUNTY; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ME008BI00,national_hq,DEA LINCOLN COUNTY; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ME009BI00,national_hq,DEA OXFORD COUNTY; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ME010BI00,national_hq,DEA PENOBSCOT COUNTY; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ME011BI00,national_hq,DEA PISCATAQUIS COUNTY; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ME012BI00,national_hq,DEA SAGADAHOC COUNTY; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ME013BI00,national_hq,DEA SOMERSET COUNTY; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ME014BI00,national_hq,DEA WALDO COUNTY; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ME015BI00,national_hq,DEA WASHINGTON COUNTY; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ME016BI00,national_hq,DEA YORK COUNTY; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MEATF0200,national_hq,BUREAU OF ATF PORTLAND; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MEDI00100,installation,ACADIA NP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MEDI00300,installation,PASSAMAQUODDY INDIAN TWP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MEINS1200,national_hq,US BORDER PATROL HOULTO; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MIATF0200,national_hq,BUREAU OF ATF GRAND RAPI; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MIATF0400,national_hq,BUREAU OF ATF FLINT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MIATF0600,national_hq,BUREAU OF ATF ANN ARBOR; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MIATFDE00,national_hq,BUREAU OF ATF DIST OFF D; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MIDEA0100,national_hq,DEA DETROIT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MIDI00100,installation,ISLE ROYALE NP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MIDI00200,installation,PICTURED ROCKS NL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MIDI00300,installation,SLEEPING BEAR DUNES NL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MIDI00400,installation,VOYAGEURS NP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MIDI00900,installation,POKAGON TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MIDI03000,installation,GUN LAKE TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MIDI05000,installation,KEWEENAW BAY TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MIDI05200,installation,SAULT STE MARIE TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MIDI05300,installation,SAGINAW CHIPPEWA TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MIDI05400,installation,BAY MILLS TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MIDI05500,installation,L TRVRS BAY BNDS ODAWA I; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MIDI06000,installation,LITTLE RVR BND OTTAWA IN; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MIDI07000,installation,NOTTAWASEPPI HURON PTWTM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MIFBIDE00,national_hq,FBI DETROIT; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MNATFSP00,national_hq,BUREAU OF ATF; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
MNDI00100,installation,GRAND PORTAGE NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MNDI00200,installation,PIPESTONE NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MNDI00300,installation,VOYAGEURS NAT L PARK; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MNDI00500,installation,LEECH LAKE BAND OF OJIBW; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
MNDI01900,installation,WHITE EARTH TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
