component,current_rule,audit_status,retain_replace_decision,evidence_summary,next_action,owner
city_builder_input_durability_2026_03_26,"Treat any packet-side file read directly by live src builders as durable repo state, and invalidate city-share cache reuse when those packet inputs change.",reviewed,replace,"A deeper follow-through audit found that the canonical San Francisco city-share builder in src/crimerisk/city_shares.py and src/crimerisk/city_incidents.py still depended on packet-side offense_crosswalk.csv and published_reference_extract.csv under state/review/packets/city/san_francisco, but those files were not versioned and the city-share cache contract only checked enabled city keys. That meant the live canonical build still depended on invisible local state, and offense-gate or packet-input changes could leave city_incident_share_surface.parquet behaviorally stale even when the city set itself did not change. The fix was to treat the San Francisco packet-side builder inputs as durable repo state, declare them as explicit required_paths in the canonical city builder surface, extend QA to surface enabled_missing_required_inputs, and make city-share cache reuse invalidate on packet/config input mtimes instead of only the enabled city set.","If live src production code reads a packet-side file, that file is not scratch review output anymore. Version it, declare it in the build contract, and make cache reuse sensitive to it so packet-input drift cannot hide behind artifact reuse.",codex
pa_borough_tiger_canonicalization_2026_03_26,"Canonicalize Pennsylvania municipal place rows to municipal cousub when an exact TIGER borough-equivalent cousub exists with the same standardized label and local code, even if no paired cousub row already exists in full_local.",reviewed,replace,"A follow-through audit on the hidden Pennsylvania borough tail found that Doylestown borough and Nazareth borough still survived in the live 2024 controls as municipal place rows with no direct BG support. The underlying code bug was in _canonicalize_pa_equivalent_place_cousub_rows(...): it only remapped a Pennsylvania municipal place row when both the place and the matching cousub were already present inside full_local. For borough police rows like PA0090400 and PA0480700, the exact TIGER cousub existed and the geometry layer already carried those cousub IDs, but no paired local cousub row had been generated upstream, so the canonicalizer never ran. The fix was to let the Pennsylvania canonicalizer fall back to exact TIGER cousub lookup when standardized label and local code match. After rebuilding reference layers, PA0090400 now resolves to 42:municipal:cousub:4201719784 and PA0480700 now resolves to 42:municipal:cousub:4209552808.","Do not require an already-materialized paired local cousub row to recognize Pennsylvania borough-equivalent geography. If the exact TIGER cousub match is unambiguous and carries the same local code, canonicalize to municipal_cousub directly.",codex
city_share_wrapper_surface_2026_03_26,Keep first-class build stages symmetrical across the CLI and thin scripts/build wrappers unless there is a deliberate reason not to.,reviewed,replace,"A repo-surface audit found that build-city-incident-shares had been promoted to a first-class CLI command and documented as part of the active build surface, but unlike the other active build stages it still lacked a matching thin scripts/build wrapper. That asymmetry was small, but it made the repo surface harder to scan and implied a special-case stage even though the underlying city-share path was already canonical. The fix was to add scripts/build/city_incident_shares.py against the live CityIncidentShareBuildConfig and write_v2_city_incident_shares(...) API and update README accordingly.","When a stage is first-class in the active build surface, either expose a matching thin wrapper or document clearly why it is intentionally CLI-only. Avoid accidental one-off build stages that exist only because no one finished the wrapper.",codex
geometry_allocation_share_canonicalization_2026_03_26,"Keep supplemental municipal block-group support inside the canonical geometry artifact with explicit allocation shares, and do not let outputs inject a hidden fallback crosswalk at allocation time.",reviewed,replace,"A post-reference rebuild audit found that the old live output path could still manufacture supplemental municipal BG support inside allocation.py through _build_missing_municipal_bg_crosswalk(...). That meant the canonical geometry artifact could stay incomplete while outputs still reconciled, which concealed real reference/geometry problems and made the build harder to reason about. The fix was to move supplemental municipal BG support into build-geometry, write explicit allocation_share rows into state/geometry/block_group_to_jurisdiction_crosswalk.parquet, and make build-outputs consume that canonical geometry artifact directly. After rebuild, QA shows missing_municipal_support_count_raw = 0, missing_municipal_support_count = 0, missing_municipal_support_fallback_rows = 0, and output-control differences only at floating-point noise.","If small-area support is needed for live outputs, materialize it in the geometry artifact itself. Do not hide geometry repairs inside allocation-time fallback code.",codex
city_share_within_jurisdiction_doctrine_2026_03_26,Treat city incident overlays as within-jurisdiction share refinements rather than as silent jurisdiction-total replacements.,reviewed,retain,"A broader audit and user-facing conceptual check confirmed that the city-share surface solves a different problem from the jurisdiction-control layer. Local incident data such as NYC or Chicago geocoded incidents can materially improve where crime is placed inside the city, but they do not by themselves redefine the municipal control unit or replace the city's jurisdiction total. The live allocation path already behaves this way: city shares override within-jurisdiction BG shares while the municipal control total remains fixed upstream. The tracker and spec were updated to make that contract explicit so city-source promotion does not get mistaken for jurisdiction-layer rebuilding.",Keep city-share work scoped to within-jurisdiction allocation realism unless the upstream jurisdiction layer is intentionally rebuilt.,codex
bg_prior_cache_dependency_fix_2026_03_27,Invalidate the cached BG prior on the real model-surface code paths rather than on nonexistent placeholder paths under src/.,reviewed,replace,"An architecture-audit pass found that src/crimerisk/allocation.py was deciding whether bg_prior_long_2024.parquet was current by checking src/model_surface.py and src/covariates/*, which do not exist in the repo's src-layout package structure. That meant code changes to the live model surface or feature-selection logic could leave the cached BG prior silently stale unless a human remembered to force a rebuild. The fix was to point the dependency check at the real src/crimerisk/model_surface.py and src/crimerisk/covariates/* files.","When a cache invalidation rule depends on code files, make it watch the real live module paths, not an older repo layout or guessed placeholder paths.",codex
city_share_cache_code_dependency_fix_2026_03_27,Invalidate the canonical city-share cache on builder-code changes as well as packet/config/raw-input changes.,reviewed,replace,"An architecture-audit pass found that src/crimerisk/city_shares.py only invalidated city_incident_share_surface.parquet when packet gates, central configs, or declared raw input files changed. If the actual share-building logic changed in src/crimerisk/city_shares.py or src/crimerisk/city_incidents.py, the cache could still be silently reused unless a human passed a force flag. The fix was to include those two live code files in the city-share dependency set.","When a cached artifact is built by repo code, include the builder modules themselves in the dependency contract so logic fixes do not leave stale artifacts live.",codex
local_publication_annual_source_lane_2026_03_27,Treat reviewed direct local annual publication rows as first-class source = local_publication_annual observations rather than packet-only municipal notes or SRS relabels.,reviewed,replace,"A follow-through source and wiring audit found that production-ready official annual extracts already existed in the municipal packet lane for cases such as Quincy, IL and Brunswick, GA, but the live build had no first-class local-publication source path. That left real direct local counts trapped in packet artifacts while zero-only SRS continuity rows still drove downstream estimation. The fix was to add a canonical local-publication loader in src/crimerisk/local_publications.py, promote production-ready packet extracts into explicit local_publication_annual observation rows, and carry that source through reporting-regime and municipal-estimation stages. After rebuild, the live reporting-regime artifact contains 28 local_publication_annual rows and Quincy/Brunswick now resolve in municipal_estimates_2024.parquet as preferred_source = local_publication_annual with annual_only_but_usable observed counts rather than fill.",Keep reviewed local publication support as an explicit first-class source identity with clear promotion gates. Do not smuggle those rows in as SRS or leave them as packet-only truth once they are production-ready.,codex
reference_input_promotion_surface_2026_03_27,Make build-reference-layers consume canonical promoted inputs under state/reference/inputs instead of reading review queue parquet files directly as production state.,reviewed,replace,"An architecture audit found that the canonical reference-layer build still defaulted to state/review/queues/local_resolution/*.parquet, which made production appear to depend directly on mutable review queue outputs. The underlying reviewed local-resolution parquets are still the source of truth at this stage, but they should be promoted into an explicit production input surface before reference artifacts are built. The fix was to change the canonical defaults to state/reference/inputs/*, add an explicit promote-reference-inputs stage, and make build-reference-layers require that promoted surface instead of silently rereading the review queue.","Separate review execution state from production build inputs explicitly. If reviewed queue outputs are still the current source of truth, promote them into a canonical production input surface and require that surface in downstream builds instead of reading the review queue directory directly as if it were the final build contract.",codex
build_stage_lock_contract_2026_03_27,Guard canonical build stages with explicit file locks and dependency blockers so duplicate or conflicting writers fail fast instead of silently mixing artifacts.,reviewed,replace,"A live rebuild pass exposed exactly the failure mode the tracker had been warning about: stale duplicate build workers were still running outside the visible session set, including orphaned build-observations and build-outputs processes, and a second observation rebuild could start while the first writer was still active. That made the repo look partially rebuilt even when artifacts were being written by overlapping workers. The fix was to add src/crimerisk/stage_locks.py, wrap the canonical write_v2_* build stages in explicit stage locks, define a small dependency-blocker map for stages that should not start while upstream or downstream artifact consumers are active, and make the CLI return a clean one-line refusal instead of a traceback on lock contention.","Keep the stage blocker map aligned to the real artifact dependency graph. If a stage starts reading or writing new canonical surfaces, update the lock contract at the same time so build concurrency does not drift back into undefined behavior.",codex
promotion_surface_timestamp_semantics_2026_03_27,"When a build stage explicitly promotes canonical inputs, the promoted files must materialize with fresh mtimes so downstream dependency checks can see the promotion.",reviewed,replace,"An architecture audit found that the new canonical promotion surfaces for city incident inputs and reference inputs were being written with shutil.copy2(...), which preserves the source file mtimes. That let downstream dependency checks treat the promoted input surface as older than cached artifacts even immediately after an explicit promotion step. The concrete failure was city_incident_share_surface.parquet silently reusing a stale offense-gate surface that still contained blocked San Francisco murder/rape and Seattle aggravated assault after promote-city-incident-inputs had been run. The fix was to make promotion stages write files with fresh mtimes instead of preserving source metadata, so explicit promotion invalidates dependent caches naturally.",Treat explicit promotion as a fresh materialization event. Do not preserve source mtimes on canonical promoted inputs when downstream cache invalidation depends on file freshness.,codex
model_surface_hist_defaults_2026_03_27,"Use the HistGradientBoostingRegressor defaults learning_rate=0.03, max_depth=5, max_iter=500, min_samples_leaf=20, l2_regularization=1.0 for the canonical ags_core block-group prior.",reviewed,replace,"The strongest completed non-default HGB candidate in archive/modeling/2026-03-27-benchmark-sweeps/2026-03-27 was slow_hist: learning_rate=0.03, max_depth=5, max_iter=500, min_samples_leaf=20, l2_regularization=1.0. After promotion and canonical rebuild, the live jurisdiction benchmark in state/modeling/jurisdiction_model_benchmark_2024.json now reads cv_r2_log_rate_mean = 0.4758952281479364, cv_r2_rate_mean = 0.3512602065064351, cv_rmse_log_rate_mean = 0.8296214553636749, and train_r2_log_rate_mean = 0.874059057772829. The paired canonical city-share benchmark in state/modeling/city_share_benchmark_2024.json remains effectively flat to slightly better on the held-out city surface: weighted_total_variation_distance_mean = 0.3733335787429639, weighted_pearson_share_mean = 0.4282007824221325, and weighted_top_10pct_true_mass_in_model_top_10pct_mean = 0.27646496976894624.",Keep slow_hist as the canonical default and use the paired jurisdiction plus held-out city-share benchmarks as the baseline for future feature/model comparisons rather than reopening default selection blindly.,codex
municipal_observation_dependency_contract_2026_03_27,"Refresh canonical observations before municipal-estimate rebuilds whenever promoted publication or reference inputs change, so municipal target-year estimation cannot silently reuse stale jurisdiction observations.",reviewed,replace,"A follow-through architecture audit found that municipal_estimates_artifact_is_current correctly watched upstream observation dependencies, but the canonical municipal rebuild path could still consume a stale jurisdiction_year_observations.parquet because only the reporting-regime path was auto-refreshed. The concrete risk was promoted local-publication, state-publication, or reference changes altering observation truth without forcing the jurisdiction observations artifact to be rebuilt before municipal target-year estimation. The fix was to make write_v2_municipal_estimates(...) ensure the observations artifacts are current before rebuilding and to make controls request municipal refresh through the canonical writer instead of an ad hoc direct build path.","Keep municipal target-year estimation behind the canonical observations surface. If promoted publication or reference inputs move, refresh observations before any municipal rebuild that consumes jurisdiction_year_observations.parquet.",codex
state_publication_canonical_year_guard_2026_03_27,Keep the canonical state_publication_annual input surface explicitly 2024-only until a real multi-year contract exists.,reviewed,replace,"A follow-through audit found that the CLI and writer surface for build-state-publication-inputs still accepted an arbitrary year argument even though the live state-publication implementation is intentionally 2024-scoped: FDLE and Mississippi TOPS loaders only materialize the 2024 canonical surface, and observations only consume state_publication_annual rows for 2024. Allowing other years to overwrite the canonical parquet would create silent wrong-year poisoning rather than a real multi-year lane. The fix was to make the writer and docs fail fast on non-2024 requests and state the 2024-only contract explicitly.","Do not expose a generic year write path for a canonical surface that is only defined for one year. Fail fast until the multi-year contract is designed and wired end to end.",codex
nested_stage_lock_contract_2026_03_27,"Top-level stages that rebuild prerequisite canonical artifacts must hold their own stage lock before entering dependency resolution, while nested prerequisite stages ignore only that single parent-stage blocker.",reviewed,replace,"A live rebuild audit exposed a real race in both controls and outputs. write_v2_controls(...) and write_v2_outputs(...) were resolving prerequisite stages before taking their own stage lock, so duplicate build-controls or build-outputs runs could both enter dependency resolution with no parent-stage lock on disk. The concrete failure showed up in build-outputs: two separate output workers collided before outputs.lock existed, one failed because geometry was already active, and the repo briefly had active output writers with no surviving outputs.lock. The fix was to move the parent stage lock to the top of write_v2_controls(...) and write_v2_outputs(...), then let only their nested prerequisite stage calls ignore that single parent blocker while keeping the rest of the blocker graph intact.",keep_parent_stage_locks_covering_dependency_resolution_for_top_level_pipeline_stages_and_only_relax_the_specific_parent_blocker_for_nested_internal_calls,codex
recursive_freshness_contract_2026_03_27,Make reporting -> municipal -> controls freshness see through observation and promoted-input dependencies instead of trusting only immediate intermediate parquet mtimes.,reviewed,replace,"A follow-through architecture audit found that reporting_regimes.py already knew how to rebuild observations when stale, but municipal_estimator.py and controls.py were still deciding artifact freshness mainly from direct intermediate parquet mtimes. That meant promoted local/state publication inputs or refreshed raw/reference inputs could leave downstream reporting/municipal/control artifacts behaviorally stale while still looking current at the top level. The fix was to define recursive dependency paths so reporting, municipal estimates, and controls all see through observation freshness and promoted-input changes rather than only the nearest parquet timestamps.","When a canonical artifact depends on another cached stage, freshness checks must see through the upstream dependency contract rather than assuming the intermediate parquet is semantically current.",codex
observation_freshness_single_contract_2026_03_27,Keep observation freshness defined by one canonical helper set with one dependency list rather than parallel duplicate definitions in observations.py.,reviewed,replace,"A follow-through architecture audit found that src/crimerisk/observations.py carried two separate definitions each of get_v2_observation_paths(...), observation_dependency_paths(...), and observations_artifacts_are_current(...). Python kept only the later block at runtime, which silently dropped code/publication/provenance dependencies that the earlier block had included, while the earlier block had omitted the full CIUS source-tree dependency set that the later block added. The fix was to collapse the duplicate helpers into one canonical implementation that combines both sides of the contract: reference outputs, raw SRS/NIBRS inputs, canonical local/state publication inputs, live builder/provenance modules, and the discovered CIUS source files.",Do not duplicate freshness helpers inside a stage module. Keep one canonical observation cache contract and extend that single dependency list when new inputs or code paths become behavior-bearing.,codex
city_share_path_dependency_contract_2026_03_27,Invalidate the canonical city-share surface on all path-valued builder inputs rather than on a special-cased subset of raw_dir and bg_crosswalk paths.,reviewed,replace,"A follow-through architecture audit found that src/crimerisk/city_shares.py already watched packet gates, builder code, raw incident directories, and the BG crosswalk, but it still special-cased only a subset of the builder kwargs instead of treating the builder contract generically. That left a stale-cache hole for other path-fed inputs such as state BG zips and any future builder path parameters that were not also duplicated into required_paths. The fix was to make the city-share dependency collector treat every path-valued builder kwarg as a dependency, expanding directories to their contained files and keeping file paths directly.","When a canonical cached artifact is built from a builder contract, watch every path-valued builder input rather than maintaining a brittle allowlist of special kwargs.",codex
lock_payload_rewrite_hygiene_2026_03_27,Keep stage-lock files as clean self-healing JSON state rather than leaving NUL-padded or stale-active payloads on disk.,reviewed,replace,"After stage locks were added, the first live rebuild pass showed two payload-hygiene bugs. First, truncating a lock file without rewinding the file offset caused rewritten JSON to land after a hole, leaving NUL-prefixed payloads on disk. Second, killing stray hidden workers released the OS flock but left lock files saying active=true, which made the visible lock surface lie about current build activity. The fix was to rewind before each payload write and to make unlocked lock-file checks self-heal stale active payloads and sanitize old padded payloads when they are discovered.","Treat the lock file as a readable state surface as well as an OS lock. If the payload is rewritten, keep it valid JSON at byte zero and recover stale-active files when the underlying lock is already gone.",codex
published_nibrs_shared_matcher_2026_03_27,Keep published-NIBRS alias matching in one shared helper instead of duplicating the same matching contract across source_selection.py and controls.py.,reviewed,replace,"A follow-through architecture audit found that src/crimerisk/source_selection.py and src/crimerisk/controls.py each carried effectively identical copies of the published-NIBRS alias-matching logic: the same allowed-type map, the same agency alias frame construction, and the same one-to-one state/name/offense matching against FBI-NIBRS-Tables-2024. That was exactly the kind of layered duplication that could let one path drift after a future fix. The fix was to extract the shared logic into src/crimerisk/published_nibrs.py and make both layers consume that one helper.","If two production stages rely on the same published-NIBRS alias contract, keep that contract in one shared helper rather than mirroring the same matcher in parallel files.",codex
reference_layer_auto_refresh_contract_2026_03_27,Refresh canonical reference layers from the observation stage whenever promoted reference inputs or reference-bearing configs make the cached reference outputs stale.,reviewed,replace,"A follow-through architecture audit found that write_v2_observations(...) was trusting preexisting agency_master, jurisdiction_master, and agency_to_jurisdiction_crosswalk outputs with no formal freshness contract. That meant a promoted reference-input change or override/config edit could leave observations looking current against stale reference artifacts unless someone manually remembered to run build-reference-layers first. The fix was to add an explicit reference-layer dependency contract in src/crimerisk/reference_layers.py and make write_v2_observations(...) go back through write_v2_reference_layers(...) when the canonical reference surface is stale.","Keep reference freshness explicit at the stage boundary. If observations consume canonical reference outputs, they must verify and refresh that reference surface rather than assuming a manual prior rebuild happened.",codex
geometry_recursive_state_cache_freshness_2026_03_27,Make geometry freshness validate per-state cache shards recursively instead of trusting only the top-level crosswalk parquet mtimes.,reviewed,replace,"A geometry audit found that block_to_jurisdiction_crosswalk.parquet and block_group_to_jurisdiction_crosswalk.parquet could be freshly rewritten from stale blocks_by_state/*.parquet shards and still look current, because the old geometry_artifacts_are_current(...) helper watched only top-level outputs plus jurisdiction_master and geometry.py. The fix was to define recursive geometry freshness: each state shard is now checked against jurisdiction/reference scope, state_control_comparison.parquet, and the state TIGER tabblock/place/cousub inputs it depends on, and the top-level geometry outputs are only considered current if those underlying shards are current too.","Do not let a fresh top-level artifact hide stale shard state. For cached staged geometry, currentness must recurse through the state shards and their raw/reference inputs.",codex
city_share_raw_input_geometry_dependency_contract_2026_03_27,Invalidate the canonical city-share surface on raw city-source and geometry-crosswalk changes and block city-share rebuilds against concurrent reference/geometry writes.,reviewed,replace,"A follow-through architecture audit found that city_incident_share_surface.parquet was only watching packet/config files and a narrow required-path list, while the actual build also depended on raw city incident trees and the canonical block-group crosswalk. That allowed raw-source or geometry changes to leave the city-share surface silently stale. The same audit found that the city_incident_shares stage was only blocked against outputs, not against concurrent reference_layers or geometry work. The fix was to extend the dependency contract to the raw_dir file trees and bg_crosswalk_parquet inputs used by each city builder, switch the cache check onto the shared artifact_is_current(...) helper, and block the city_incident_shares stage against reference_layers and geometry as well as outputs.","Treat the city-share surface as a real derived stage with full raw-input and geometry dependencies. If the stage reads the BG crosswalk or raw city feeds, those inputs belong in both freshness and lock contracts.",codex
controls_federal_input_dependency_contract_2026_03_27,Include the live federal comparison/reference inputs in the controls freshness contract rather than treating them as untracked side reads.,reviewed,replace,"A follow-through architecture audit found that controls.py was reading the FBI CDE CSV, the parsed published-NIBRS table, and agency_master/source-selection logic while _controls_dependency_paths(...) only tracked the immediate local observation/reporting/municipal intermediates. That meant the controls surface could stay apparently current after one of those real federal/reference inputs changed. The fix was to add the CDE CSV, the parsed 2024 published-NIBRS parquet, agency_master.parquet, and source_selection.py to the controls dependency set.","If a stage reads a federal comparison surface or a source-arbitration module directly, freshness must track it explicitly. Do not leave behavior-bearing side reads outside the canonical dependency contract.",codex
published_nibrs_corroboration_boundary_2026_03_27,Keep published-NIBRS corroboration in one shared predicate and pass canonical agency-preferred rows forward inside controls instead of rebuilding them in parallel helper paths.,reviewed,replace,"A follow-through architecture audit found that published-NIBRS alias matching had already been centralized, but the corroboration predicate itself was still being re-expressed separately in src/crimerisk/source_selection.py and src/crimerisk/controls.py, while controls.py also rebuilt the full agency-preferred panel twice in separate jurisdiction-summary helpers. That kept source doctrine harder to reason about than it needed to be and made another future drift bug too likely. The fix was to add build_published_nibrs_corroboration_mask(...) in src/crimerisk/published_nibrs.py, route both source_selection.py and controls.py through that shared predicate, and compute agency-preferred rows once in build_jurisdiction_controls(...) before passing them to the downstream aggregation helpers.","If a downstream stage needs the same source-corroboration question, reuse the shared predicate and pass canonical agency-preferred rows forward instead of rebuilding them and restating source doctrine locally.",codex
city_residual_benchmark_default_alignment_2026_03_27,Keep the canonical residual-share benchmark on the same HGB capacity tier as the promoted BG prior instead of silently benchmarking a weaker scratch-default model.,reviewed,replace,"The first canonical city residual benchmark script was left with conservative scratch defaults (`hist_max_iter = 300`, `hist_min_samples_leaf = 50`) even after the live BG prior had already promoted the `slow_hist` HGB tier (`hist_max_iter = 500`, `hist_min_samples_leaf = 20`). That made the canonical residual benchmark harder to interpret because it was evaluating a different capacity tier than the promoted main model surface. The fix was to align the benchmark script defaults with the promoted BG-prior defaults and rerun the canonical residual-share benchmark artifact on that aligned configuration.","If a benchmark is meant to inform the promoted production model lane, keep its default model capacity aligned with the promoted baseline instead of silently leaving it on an older scratch tier.",codex
scratch_bg_feature_benchmark_contract_2026_03_27,Inject experimental BG feature families into benchmark paths only through explicit scratch hooks that preserve canonical outputs and record feature provenance.,reviewed,replace,"The first bounded Overture Places experiment required trying a new BG feature family without hand-wiring it into the canonical model surface or risking silent overwrite of the live benchmark artifacts. Before this pass, city residual benchmarking required ad hoc local merges and the jurisdiction benchmark had no supported way to evaluate scratch BG feature parquets. The fix was to centralize merge_extra_bg_features(...) in src/crimerisk/model_surface.py, add explicit `--extra-bg-features-path` hooks to scripts/build/benchmark_city_residuals.py and scripts/build/benchmark_models.py, keep non-default runs off canonical outputs unless explicitly promoted, and record `feature_source = extra_bg_feature` in model metadata for injected columns.","Use explicit scratch BG feature hooks for staged feature-family evaluation. Do not wire new exogenous feature sources into the canonical model path until they clear the paired jurisdiction and city-share/residual benchmarks and their source-time contract is documented.",codex
