state_fips,county_fips,agency_or_structure_name,issue_type,service_structure_summary,implication_for_pipeline,source_links,note_status
26,,Monroe city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#26:municipal:place:2655020,pending
12,,DeBary city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1216675,pending
13,,Jesup city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#13:municipal:place:1342268,pending
22,,Ville Platte city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#22:municipal:place:2278715,pending
35,,Socorro city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#35:municipal:place:3573540,pending
06,,Millbrae city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#06:municipal:place:0647486,pending
09,,Danielson borough,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#09:municipal:place:0918780,pending
12,,Sebring city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1264875,pending
28,,Biloxi city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#28:municipal:place:2806220,pending
36,,Lindenhurst village,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:place:3642554,pending
37,,Conover city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#37:municipal:place:3714340,pending
13,,Calhoun city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#13:municipal:place:1312456,pending
12,,Miami Springs city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1245200,pending
12,,Tamarac city,municipal_target_review,"Tamarac is currently policed by Broward Sheriff's Office under a longstanding city contract, but official city, FDLE, and FBI CDE sources still support a real Tamarac-specific legacy municipal reporting identity tied to FL0063100 through the 2021 retained blank row. The current all-fill state reflects contract-city reporting continuity and publication failure after the Florida SRS-to-NIBRS transition, not county replacement or target invalidity.","Keep the standalone municipal control row, document Tamarac as a BSO contract-policing municipality, and treat the all-fill condition as broken reporting continuity on FL0063100 rather than dropping Tamarac into Broward County remainder.",state/review/packets/municipal_targets/tamarac_fl/recommendation.csv,active
28,,Brookhaven city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#28:municipal:place:2808820,pending
12,,Rockledge city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1261500,pending
28,,Clarksdale city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#28:municipal:place:2813820,pending
28,,Greenwood city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#28:municipal:place:2829340,pending
12,,Edgewater city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1219825,pending
17,,Norridge village,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#17:municipal:place:1753377,pending
16,,Kuna city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#16:municipal:place:1644290,pending
29,,Jennings city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#29:municipal:place:2937178,pending
12,,Quincy city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1259325,pending
22,,Leesville city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#22:municipal:place:2243010,pending
09,,Jewett City borough,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#09:municipal:place:0939940,pending
13,,Fort Valley city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#13:municipal:place:1331096,pending
39,,Maple Heights city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#39:municipal:place:3947306,pending
28,,Grenada city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#28:municipal:place:2829460,pending
41,,Troutdale city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#41:municipal:place:4174850,pending
12,,Cooper City city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1214125,pending
28,,McComb city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#28:municipal:place:2843280,pending
12,,Weston city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1276582,pending
28,,Moss Point city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#28:municipal:place:2849240,pending
28,,Ocean Springs city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#28:municipal:place:2853520,pending
17,,Broadview village,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#17:municipal:place:1708446,pending
17,,Bridgeview village,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#17:municipal:place:1708225,pending
12,,Naples city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1247625,pending
18,,Lake Station city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#18:municipal:place:1841535,pending
17,,Dolton village,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#17:municipal:place:1720292,pending
08,,Wellington town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#08:municipal:place:0883230,pending
54,,Granville town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#54:municipal:place:5432932,pending
12,,Orange City city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1251825,pending
12,,Cocoa Beach city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1213175,pending
36,,Mineola village,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:place:3647636,pending
12,,Winter Springs city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1278325,pending
28,,Canton city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#28:municipal:place:2811100,pending
12,,Venice city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1273900,pending
12,,Dade City city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1216125,pending
08,,Berthoud town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#08:municipal:place:0806255,pending
28,,Yazoo City city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#28:municipal:place:2881520,pending
12,,Callaway city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1209725,pending
04,,Holbrook city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#04:municipal:place:0433280,pending
16,,Ammon city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#16:municipal:place:1601990,pending
13,,LaFayette city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#13:municipal:place:1344312,pending
04,,Taylor town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#04:municipal:place:0472420,pending
35,,Española city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#35:municipal:place:3525170,pending
17,,Godfrey village,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#17:municipal:place:1730094,pending
47,,Hartsville/Trousdale County,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#47:municipal:place:4732742,pending
12,,Alachua city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1200375,pending
12,,Live Oak city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1240875,pending
36,,Massapequa Park village,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:place:3645997,pending
55,,Howard village,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#55:municipal:place:5535950,pending
12,,Punta Gorda city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1259200,pending
04,,Youngtown town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#04:municipal:place:0485400,pending
12,,Lauderdale Lakes city,municipal_target_review,"Lauderdale Lakes is currently policed by Broward Sheriff's Office under a long-running contract, but official city, FDLE, and FBI CDE materials still support a real Lauderdale Lakes-specific municipal reporting identity tied to FL0061700 through 2020, with a retained blank FDLE row in 2021 and official FBI roster presence in 2024.","Keep the standalone municipal control row and treat the current all-fill state as a contract-city reporting/publication continuity failure after Florida's SRS-to-NIBRS transition rather than target invalidity or county replacement.",state/review/packets/municipal_targets/lauderdale_lakes_fl/recommendation.csv,active
35,,Silver City town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#35:municipal:place:3573260,pending
17,,West Frankfort city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#17:municipal:place:1780333,pending
08,,Durango city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#08:municipal:place:0822035,pending
06,,Half Moon Bay city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#06:municipal:place:0631708,pending
27,,Ham Lake city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#27:municipal:place:2726738,pending
26,,Mount Clemens city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#26:municipal:place:2655820,pending
12,,Pembroke Park town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1255750,pending
18,,Winchester city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#18:municipal:place:1884752,pending
22,,Donaldsonville city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#22:municipal:place:2221240,pending
22,,Oakdale city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#22:municipal:place:2256540,pending
18,,Peru city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#18:municipal:place:1859328,pending
35,,Ruidoso village,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#35:municipal:place:3565210,pending
56,,Lander city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#56:municipal:place:5644760,pending
18,,Scottsburg city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#18:municipal:place:1868526,pending
27,,Hugo city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#27:municipal:place:2730392,pending
